jahr;bfsnr;ort;anlage;rubrik;thema;subthema;wert;einheit
2001;117;Hinwil;KEZO Hinwil;Wärme;KVA;Wärme;19567;MWh
2001;261;Zürich;ERZ Josefstrasse;Wärme;KVA;Wärme;108341;MWh
2001;261;Zürich;ERZ Hagenholz;Wärme;KVA;Wärme;302611;MWh
2001;230;Winterthur;KVA Winterthur;Wärme;KVA;Wärme;88370;MWh
2001;243;Dietikon;KV Limeco;Wärme;KVA;Wärme;18262;MWh
2001;295;Horgen;KVA Horgen;Wärme;KVA;Wärme;47321;MWh
2002;117;Hinwil;KEZO Hinwil;Wärme;KVA;Wärme;17400;MWh
2002;261;Zürich;ERZ Josefstrasse;Wärme;KVA;Wärme;107002;MWh
2002;261;Zürich;ERZ Hagenholz;Wärme;KVA;Wärme;325711;MWh
2002;230;Winterthur;KVA Winterthur;Wärme;KVA;Wärme;91484;MWh
2002;243;Dietikon;KV Limeco;Wärme;KVA;Wärme;18048;MWh
2002;295;Horgen;KVA Horgen;Wärme;KVA;Wärme;66262;MWh
2003;117;Hinwil;KEZO Hinwil;Wärme;KVA;Wärme;20020;MWh
2003;261;Zürich;ERZ Josefstrasse;Wärme;KVA;Wärme;90029;MWh
2003;261;Zürich;ERZ Hagenholz;Wärme;KVA;Wärme;309934;MWh
2003;230;Winterthur;KVA Winterthur;Wärme;KVA;Wärme;97919;MWh
2003;243;Dietikon;KV Limeco;Wärme;KVA;Wärme;19824;MWh
2003;295;Horgen;KVA Horgen;Wärme;KVA;Wärme;47839;MWh
2004;117;Hinwil;KEZO Hinwil;Wärme;KVA;Wärme;18481;MWh
2004;261;Zürich;ERZ Josefstrasse;Wärme;KVA;Wärme;102480;MWh
2004;261;Zürich;ERZ Hagenholz;Wärme;KVA;Wärme;299146;MWh
2004;230;Winterthur;KVA Winterthur;Wärme;KVA;Wärme;100642;MWh
2004;243;Dietikon;KV Limeco;Wärme;KVA;Wärme;19734;MWh
2004;295;Horgen;KVA Horgen;Wärme;KVA;Wärme;48040;MWh
2005;117;Hinwil;KEZO Hinwil;Wärme;KVA;Wärme;20274;MWh
2005;261;Zürich;ERZ Josefstrasse;Wärme;KVA;Wärme;93207;MWh
2005;261;Zürich;ERZ Hagenholz;Wärme;KVA;Wärme;313901;MWh
2005;230;Winterthur;KVA Winterthur;Wärme;KVA;Wärme;96593;MWh
2005;243;Dietikon;KV Limeco;Wärme;KVA;Wärme;21123;MWh
2005;295;Horgen;KVA Horgen;Wärme;KVA;Wärme;48142;MWh
2006;117;Hinwil;KEZO Hinwil;Wärme;KVA;Wärme;21631;MWh
2006;261;Zürich;ERZ Josefstrasse;Wärme;KVA;Wärme;100546;MWh
2006;261;Zürich;ERZ Hagenholz;Wärme;KVA;Wärme;338864;MWh
2006;230;Winterthur;KVA Winterthur;Wärme;KVA;Wärme;97933;MWh
2006;243;Dietikon;KV Limeco;Wärme;KVA;Wärme;20642;MWh
2006;295;Horgen;KVA Horgen;Wärme;KVA;Wärme;48432;MWh
2007;117;Hinwil;KEZO Hinwil;Wärme;KVA;Wärme;19436;MWh
2007;261;Zürich;ERZ Josefstrasse;Wärme;KVA;Wärme;92510;MWh
2007;261;Zürich;ERZ Hagenholz;Wärme;KVA;Wärme;318597;MWh
2007;230;Winterthur;KVA Winterthur;Wärme;KVA;Wärme;86362;MWh
2007;243;Dietikon;KV Limeco;Wärme;KVA;Wärme;21018;MWh
2007;295;Horgen;KVA Horgen;Wärme;KVA;Wärme;40753;MWh
2008;117;Hinwil;KEZO Hinwil;Wärme;KVA;Wärme;20481;MWh
2008;261;Zürich;ERZ Josefstrasse;Wärme;KVA;Wärme;84752;MWh
2008;261;Zürich;ERZ Hagenholz;Wärme;KVA;Wärme;306620;MWh
2008;230;Winterthur;KVA Winterthur;Wärme;KVA;Wärme;102384;MWh
2008;243;Dietikon;KV Limeco;Wärme;KVA;Wärme;23400;MWh
2008;295;Horgen;KVA Horgen;Wärme;KVA;Wärme;45637;MWh
2009;117;Hinwil;KEZO Hinwil;Wärme;KVA;Wärme;26223;MWh
2009;261;Zürich;ERZ Josefstrasse;Wärme;KVA;Wärme;88726;MWh
2009;261;Zürich;ERZ Hagenholz;Wärme;KVA;Wärme;327514;MWh
2009;230;Winterthur;KVA Winterthur;Wärme;KVA;Wärme;99183;MWh
2009;243;Dietikon;KV Limeco;Wärme;KVA;Wärme;24079;MWh
2009;295;Horgen;KVA Horgen;Wärme;KVA;Wärme;44671;MWh
2010;117;Hinwil;KEZO Hinwil;Wärme;KVA;Wärme;40754;MWh
2010;261;Zürich;ERZ Josefstrasse;Wärme;KVA;Wärme;102068;MWh
2010;261;Zürich;ERZ Hagenholz;Wärme;KVA;Wärme;366260;MWh
2010;230;Winterthur;KVA Winterthur;Wärme;KVA;Wärme;120744;MWh
2010;243;Dietikon;KV Limeco;Wärme;KVA;Wärme;25243;MWh
2010;295;Horgen;KVA Horgen;Wärme;KVA;Wärme;47848;MWh
2011;117;Hinwil;KEZO Hinwil;Wärme;KVA;Wärme;42403;MWh
2011;261;Zürich;ERZ Josefstrasse;Wärme;KVA;Wärme;83633;MWh
2011;261;Zürich;ERZ Hagenholz;Wärme;KVA;Wärme;399874;MWh
2011;230;Winterthur;KVA Winterthur;Wärme;KVA;Wärme;113433;MWh
2011;243;Dietikon;KV Limeco;Wärme;KVA;Wärme;22208;MWh
2011;295;Horgen;KVA Horgen;Wärme;KVA;Wärme;42007;MWh
2012;117;Hinwil;KEZO Hinwil;Wärme;KVA;Wärme;38819;MWh
2012;261;Zürich;ERZ Josefstrasse;Wärme;KVA;Wärme;89026;MWh
2012;261;Zürich;ERZ Hagenholz;Wärme;KVA;Wärme;423164;MWh
2012;230;Winterthur;KVA Winterthur;Wärme;KVA;Wärme;117348;MWh
2012;243;Dietikon;KV Limeco;Wärme;KVA;Wärme;23271;MWh
2012;295;Horgen;KVA Horgen;Wärme;KVA;Wärme;46939;MWh
2013;117;Hinwil;KEZO Hinwil;Wärme;KVA;Wärme;41225;MWh
2013;261;Zürich;ERZ Josefstrasse;Wärme;KVA;Wärme;92895;MWh
2013;261;Zürich;ERZ Hagenholz;Wärme;KVA;Wärme;403736;MWh
2013;230;Winterthur;KVA Winterthur;Wärme;KVA;Wärme;141284;MWh
2013;243;Dietikon;KV Limeco;Wärme;KVA;Wärme;23930;MWh
2013;295;Horgen;KVA Horgen;Wärme;KVA;Wärme;48427;MWh
2014;117;Hinwil;KEZO Hinwil;Wärme;KVA;Wärme;37415;MWh
2014;261;Zürich;ERZ Josefstrasse;Wärme;KVA;Wärme;88274;MWh
2014;261;Zürich;ERZ Hagenholz;Wärme;KVA;Wärme;420710;MWh
2014;230;Winterthur;KVA Winterthur;Wärme;KVA;Wärme;116568;MWh
2014;243;Dietikon;KV Limeco;Wärme;KVA;Wärme;23335;MWh
2014;295;Horgen;KVA Horgen;Wärme;KVA;Wärme;39440;MWh
2015;117;Hinwil;KEZO Hinwil;Wärme;KVA;Wärme;56583;MWh
